"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"2004/08/01","00:00","0.567","0.251","0.212","0.079","0.081","-0.05","-0.097","-0.615","0"
"2004/09/01","00:00","0.645","0.254","0.217","0.093","0.093","-0.031","-0.069","-0.232","0"
"2004/10/01","00:00","0.522","0.325","0.294","0.178","0.179","0.065","0.036","-0.116","0"
"2004/11/01","00:00","0.5","0.228","0.188","0.057","0.06","-0.068","-0.102","-0.331","0"
"2004/12/01","00:00","0.432","0.179","0.129","-0.006","-0.003","-0.136","-0.174","-0.347","0"
"2005/01/01","00:00","0.358","0.179","0.14","-0.003","-0.001","-0.141","-0.186","-0.471","0"
"2005/02/01","00:00","0.419","0.203","0.164","0.037","0.034","-0.096","-0.136","-0.359","0"
"2005/03/01","00:00","0.668","0.214","0.16","0.015","0.013","-0.133","-0.18","-0.453","0"
"2005/04/01","00:00","0.815","0.267","0.216","0.082","0.082","-0.052","-0.103","-0.379","0"
"2005/05/01","00:00","0.497","0.249","0.208","0.085","0.083","-0.043","-0.091","-0.553","0"
"2005/06/01","00:00","0.412","0.24","0.199","0.078","0.081","-0.037","-0.073","-0.323","0"
"2005/07/01","00:00","0.412","0.25","0.211","0.097","0.1","-0.012","-0.043","-0.162","0"
"2005/08/01","00:00","0.445","0.214","0.19","0.078","0.082","-0.025","-0.048","-0.142","0"
"2005/09/01","00:00","0.506","0.224","0.189","0.075","0.073","-0.043","-0.081","-0.416","0"
"2005/10/01","00:00","0.626","0.327","0.295","0.184","0.182","0.068","0.026","-0.173","0"
"2005/11/01","00:00","0.512","0.159","0.121","0.008","0.005","-0.111","-0.137","-0.327","0"
"2005/12/01","00:00","0.384","0.154","0.106","-0.03","-0.027","-0.16","-0.201","-0.423","0"
"2006/01/01","00:00","0.498","0.193","0.142","0.011","0.011","-0.119","-0.159","-0.442","0"
"2006/02/01","00:00","0.507","0.161","0.114","-0.022","-0.02","-0.155","-0.204","-0.481","0"
"2006/03/01","00:00","0.289","0.165","0.108","-0.038","-0.036","-0.18","-0.233","-0.363","0"
"2006/04/01","00:00","0.329","0.173","0.129","-0.02","-0.016","-0.162","-0.206","-0.401","0"
"2006/05/01","00:00","0.564","0.327","0.266","0.138","0.139","0.012","-0.034","-0.226","0"
"2006/06/01","00:00","0.462","0.245","0.196","0.073","0.075","-0.046","-0.082","-0.212","0"
"2006/07/01","00:00","0.391","0.212","0.17","0.047","0.049","-0.072","-0.109","-0.261","0"
"2006/08/01","00:00","0.338","0.203","0.174","0.05","0.052","-0.07","-0.104","-0.274","0"
"2006/09/01","00:00","0.905","0.356","0.317","0.217","0.205","0.093","0.061","-0.124","0"
"2006/10/01","00:00","0.543","0.304","0.267","0.148","0.148","0.029","-0.007","-0.241","0"
"2006/11/01","00:00","0.784","0.319","0.276","0.153","0.151","0.026","-0.004","-0.366","0"
"2006/12/01","00:00","0.41","0.177","0.121","-0.013","-0.011","-0.142","-0.169","-0.354","0"
"2007/01/01","00:00","0.364","0.179","0.12","-0.017","-0.015","-0.149","-0.192","-0.437","0"
"2007/02/01","00:00","0.292","0.074","0.03","-0.111","-0.113","-0.256","-0.292","-0.482","0"
