"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1991/05/01","00:00","0.939","0.562","0.449","-0.027","-0.03","-0.508","-0.551","-0.755","0"
"1991/06/01","00:00","1.11","0.668","0.546","0.068","0.065","-0.42","-0.463","-0.819","0"
"1991/07/01","00:00","0.9","0.638","0.537","0.049","0.046","-0.441","-0.484","-0.676","0"
"1991/08/01","00:00","0.827","0.586","0.504","0.019","0.016","-0.472","-0.511","-0.78","0"
"1991/09/01","00:00","0.982","0.647","0.546","0.056","0.052","-0.438","-0.484","-0.716","0"
"1991/10/01","00:00","1.345","0.714","0.616","0.138","0.132","-0.35","-0.389","-0.645","0"
"1991/11/01","00:00","1.25","0.671","0.555","0.068","0.068","-0.417","-0.466","-0.853","0"
"1991/12/01","00:00","0.991","0.513","0.388","-0.094","-0.097","-0.578","-0.639","-1.151","0"
"1992/01/01","00:00","1.086","0.577","0.455","-0.027","-0.03","-0.514","-0.572","-1.081","0"
"1992/02/01","00:00","0.885","0.601","0.504","0.025","0.022","-0.46","-0.496","-0.856","0"
"1992/03/01","00:00","0.964","0.525","0.43","-0.06","-0.06","-0.551","-0.6","-0.969","0"
"1992/04/01","00:00","0.805","0.558","0.47","-0.015","-0.018","-0.502","-0.545","-0.92","0"
"1992/05/01","00:00","1.052","0.65","0.534","0.056","0.049","-0.435","-0.481","-0.877","0"
"1992/06/01","00:00","0.836","0.626","0.51","0.04","0.034","-0.441","-0.478","-0.618","0"
"1992/07/01","00:00","0.991","0.592","0.485","-0.015","-0.021","-0.524","-0.566","-0.795","0"
"1992/08/01","00:00","0.79","0.595","0.513","0.013","0.004","-0.505","-0.551","-0.892","0"
"1992/09/01","00:00","1.281","0.644","0.552","0.059","0.052","-0.447","-0.484","-0.719","0"
"1992/10/01","00:00","0.891","0.632","0.522","0.043","0.04","-0.444","-0.484","-0.889","0"
"1992/11/01","00:00","0.906","0.607","0.504","0.022","0.016","-0.472","-0.511","-0.883","0"
"1992/12/01","00:00","1.345","0.562","0.452","-0.039","-0.039","-0.533","-0.575","-0.865","0"
"1993/01/01","00:00","1.217","0.574","0.47","-0.008","-0.008","-0.49","-0.536","-0.789","0"
"1993/02/01","00:00","0.979","0.613","0.537","0.046","0.04","-0.46","-0.521","-0.804","0"
"1993/03/01","00:00","0.875","0.522","0.433","-0.054","-0.057","-0.548","-0.597","-1.033","0"
"1993/04/01","00:00","1.26","0.659","0.574","0.08","0.077","-0.423","-0.457","-0.792","0"
"1993/05/01","00:00","0.836","0.616","0.516","0.016","0.013","-0.49","-0.527","-0.792","0"
"1993/06/01","00:00","0.875","0.571","0.464","-0.027","-0.033","-0.53","-0.578","-0.743","0"
