"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1993/03/01","00:00","1.109","0.465","0.383","-0.089","-0.092","-0.565","-0.626","-0.943","0"
"1993/04/01","00:00","0.974","0.593","0.505","0.033","0.03","-0.443","-0.473","-0.732","0"
"1993/05/01","00:00","0.798","0.56","0.468","-0.004","-0.01","-0.489","-0.528","-0.745","0"
"1993/06/01","00:00","0.752","0.56","0.462","-0.01","-0.013","-0.489","-0.54","-0.675","0"
"1993/07/01","00:00","0.724","0.557","0.465","-0.007","-0.01","-0.486","-0.537","-0.742","0"
"1993/08/01","00:00","0.813","0.545","0.478","0.014","0.008","-0.464","-0.513","-0.754","0"
"1993/09/01","00:00","0.865","0.609","0.545","0.072","0.072","-0.4","-0.437","-0.711","0"
"1993/10/01","00:00","0.99","0.685","0.615","0.148","0.148","-0.318","-0.355","-0.565","0"
"1993/11/01","00:00","0.795","0.56","0.468","-0.001","-0.004","-0.473","-0.531","-0.882","0"
"1993/12/01","00:00","0.947","0.566","0.471","-0.004","-0.007","-0.486","-0.534","-0.888","0"
"1994/01/01","00:00","0.834","0.423","0.328","-0.159","-0.163","-0.656","-0.723","-0.87","0"
"1994/02/01","00:00","0.682","0.459","0.383","-0.092","-0.098","-0.577","-0.623","-0.806","0"
"1994/03/01","00:00","0.758","0.505","0.438","-0.059","-0.062","-0.562","-0.604","-0.934","0"
"1994/04/01","00:00","0.682","0.444","0.359","-0.135","-0.138","-0.635","-0.668","-0.955","0"
"1994/05/01","00:00","0.98","0.624","0.529","0.052","0.047","-0.435","-0.466","-0.678","0"
"1994/06/01","00:00","0.761","0.532","0.436","-0.041","-0.044","-0.525","-0.574","-0.739","0"
"1994/07/01","00:00","0.746","0.491","0.4","-0.067","-0.072","-0.544","-0.596","-0.693","0"
"1994/08/01","00:00","0.819","0.523","0.448","-0.019","-0.022","-0.492","-0.538","-0.784","0"
"1994/09/01","00:00","0.895","0.628","0.56","0.097","0.096","-0.369","-0.408","-0.601","0"
"1994/10/01","00:00","0.871","0.658","0.597","0.122","0.122","-0.353","-0.387","-0.623","0"
"1994/11/01","00:00","1.075","0.544","0.463","-0.025","-0.026","-0.516","-0.561","-0.912","0"
"1994/12/01","00:00","0.938","0.704","0.602","0.107","0.106","-0.39","-0.438","-0.87","0"
"1995/01/01","00:00","0.795","0.514","0.433","-0.067","-0.071","-0.576","-0.631","-0.864","0"
"1995/02/01","00:00","0.599","0.385","0.321","-0.162","-0.173","-0.668","-0.713","-0.961","0"
"1995/03/01","00:00","0.831","0.517","0.463","-0.024","-0.025","-0.514","-0.539","-0.778","0"
"1995/04/01","00:00","0.758","0.528","0.449","-0.031","-0.035","-0.519","-0.543","-0.717","0"
"1995/05/01","00:00","0.837","0.606","0.521","0.048","0.044","-0.433","-0.475","-0.69","0"
"1995/06/01","00:00","0.843","0.594","0.5","0.023","0.018","-0.465","-0.507","-0.696","0"
"1995/07/01","00:00","0.865","0.587","0.504","0.026","0.02","-0.464","-0.508","-0.635","0"
"1995/08/01","00:00","0.962","0.714","0.649","0.178","0.173","-0.304","-0.347","-0.659","0"
"1995/09/01","00:00","0.84","0.712","0.648","0.172","0.171","-0.305","-0.342","-0.495","0"
"1995/10/01","00:00","0.929","0.68","0.612","0.133","0.129","-0.353","-0.389","-0.643","0"
"1995/11/01","00:00","0.928","0.57","0.5","0.014","0.01","-0.481","-0.53","-0.741","0"
"1995/12/01","00:00","0.894","0.541","0.451","-0.033","-0.032","-0.516","-0.56","-0.738","0"
"1996/01/01","00:00","0.784","0.499","0.416","-0.057","-0.061","-0.538","-0.61","-0.951","0"
"1996/02/01","00:00","0.697","0.428","0.362","-0.114","-0.122","-0.607","-0.651","-0.888","0"
